TIC_ID,label,period,depth_ppm,duration_hr,sectors,n_sectors,mission
10797460,1,9.48803557,615.8,2.9575,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10848459,0,1.736952453,8079.2,2.40641,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,Kepler
10854555,1,2.525591777,603.3,1.6545,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10872983,1,11.09432054,1517.5,4.5945,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
6721123,0,7.36178958,233.7,5.022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10910878,1,16.06864674,4914.3,3.5347,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
11446443,1,2.470613377,14230.9,1.74319,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10666592,1,2.204735417,6674.7,3.88864,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
6922244,1,3.522498429,9145.7,3.19843,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10984090,1,3.709214104,131.1,2.6302,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10419211,0,11.521446064,17984.3,3.6399,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,Kepler
10464078,0,19.40393776,8918.7,12.2155,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",17,Kepler
10480982,0,19.221388942,74284.0,4.79843,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",14,Kepler
